Year,Species,Easting,Northing,Age,Sex,Tnights
1,DOC200,1745076.518,5427240.127,NA,NA,60
1,DOC200,1745105.042,5427404.489,NA,NA,60
1,VICTOR,1744967.706,5427400.688,NA,NA,60
1,VICTOR,1745102.175,5427316.083,NA,NA,60
1,VICTOR,1744993.603,5427212.156,NA,NA,60
1,VICTOR,1744866.11,5427296.335,NA,NA,60
1,VICTOR,1745183.406,5427222.81,NA,NA,60
1,VICTOR,1745182.265,5427477.82,NA,NA,60
1,DOC200,1743570.832,5427022.195,NA,NA,60
1,DOC200,1743588.558,5427100.629,NA,NA,60
1,DOC200,1743447.21,5427133.278,NA,NA,60
1,DOC200,1743363.292,5427070.474,NA,NA,60
1,DOC200,1743264.791,5426997.214,NA,NA,60
1,VICTOR,1744564.35,5427000.829,NA,NA,60
1,DOC200,1745273.895,5427120.957,NA,NA,60
1,DOC200,1745217.67,5427005.693,NA,NA,60
1,DOC200,1745057.511,5426842.457,NA,NA,60
1,DOC200,1744982.492,5426685.794,NA,NA,60
1,DOC200,1744857.01,5426608.059,NA,NA,60
1,DOC200,1744672.615,5426633.129,NA,NA,60
1,DOC200,1744513.432,5426683.575,NA,NA,60
1,DOC200,1744466.067,5426856.404,NA,NA,60
1,DOC200,1744649.009,5427116.168,NA,NA,60
1,DOC200,1744580.182,5426796.136,NA,NA,60
1,DOC200,1744676.315,5426937.439,NA,NA,60
1,DOC200,1744778.013,5427068.899,NA,NA,60
1,DOC200,1744867.107,5427210.37,NA,NA,60
1,DOC200,1744739.022,5426728.36,NA,NA,60
1,DOC200,1744990.894,5427303.501,NA,NA,60
1,DOC200,1744763.708,5426817.244,NA,NA,60
1,VICTOR,1745362.908,5427038.582,NA,NA,60
1,VICTOR,1745085.437,5427151.058,NA,NA,60
1,VICTOR,1744987.336,5427128.928,NA,NA,60
1,VICTOR,1744821.615,5427152.138,NA,NA,60
1,VICTOR,1744725.3,5427009.021,NA,NA,60
1,VICTOR,1744638.755,5426863.712,NA,NA,60
1,VICTOR,1744599.036,5426945.076,NA,NA,60
1,VICTOR,1744636.215,5427048.396,NA,NA,60
1,VICTOR,1744705.132,5427145.162,NA,NA,60
1,VICTOR,1744638.207,5427191.707,NA,NA,60
1,VICTOR,1744561.825,5427194.018,NA,NA,60
1,VICTOR,1744421.222,5426811.846,NA,NA,60
1,VICTOR,1744934.186,5427167.591,NA,NA,60
1,DOC200,1745826.62,5426998.762,NA,NA,60
1,VICTOR,1745721.922,5426873.614,NA,NA,60
1,DOC200,1745365.87,5426638.237,NA,NA,60
1,VICTOR,1745448.383,5426632.005,NA,NA,60
1,VICTOR,1745411.999,5426699.876,NA,NA,60
1,VICTOR,1745389.192,5426817.61,NA,NA,60
1,VICTOR,1745411.844,5426871.768,NA,NA,60
1,VICTOR,1745520.757,5426835.568,NA,NA,60
1,VICTOR,1745524.885,5426907.106,NA,NA,60
1,VICTOR,1745586.494,5426842.308,NA,NA,60
1,VICTOR,1745514.222,5426733.64,NA,NA,60
1,VICTOR,1745500.391,5426671.25,NA,NA,60
1,VICTOR,1745702.178,5426830.142,NA,NA,60
1,VICTOR,1745659.024,5426939.439,NA,NA,60
1,DOC200,1745584.636,5427018.714,NA,NA,60
1,VICTOR,1745522.214,5427001.85,NA,NA,60
1,VICTOR,1745452.991,5427086.706,NA,NA,60
1,VICTOR,1745436.215,5427011.838,NA,NA,60
1,VICTOR,1745448.293,5426941.765,NA,NA,60
1,VICTOR,1745393.662,5427130.867,NA,NA,60
1,VICTOR,1745349.98,5427193.517,NA,NA,60
1,VICTOR,1745226.125,5427291.791,NA,NA,60
1,VICTOR,1745610.681,5426814.175,NA,NA,60
1,VICTOR,1745605.733,5426769.064,NA,NA,60
1,VICTOR,1745580.619,5426726.595,NA,NA,60
1,VICTOR,1745579.297,5426662.507,NA,NA,60
1,VICTOR,1745533.903,5426549.722,NA,NA,60
1,VICTOR,1745454.945,5426555.779,NA,NA,60
1,DOC200,1745376.322,5426537.449,NA,NA,60
1,DOC200,1743556.692,5427468.659,NA,NA,60
1,VICTOR,1743671.66,5427307.467,NA,NA,60
1,DOC200,1744221.416,5426948.637,NA,NA,60
1,DOC200,1743960.605,5426431.706,NA,NA,60
1,DOC200,1743887.182,5426404.493,NA,NA,60
1,DOC200,1743804.703,5426453.929,NA,NA,60
1,DOC200,1743732.546,5426464.058,NA,NA,60
1,DOC200,1744191.944,5426858.423,NA,NA,60
1,DOC200,1744136.199,5426790.06,NA,NA,60
1,DOC200,1744106.117,5426673.036,NA,NA,60
1,DOC200,1744038.144,5426560.176,NA,NA,60
1,DOC200,1744107.299,5426447.799,NA,NA,60
1,DOC200,1744080.311,5426349.997,NA,NA,60
1,DOC200,1743978.964,5426348.765,NA,NA,60
1,DOC200,1744030.729,5426452.182,NA,NA,60
1,A24,1743672.813,5426317.575,NA,NA,60
1,A24,1743710.979,5426317.327,NA,NA,60
1,A24,1743764.256,5426340.303,NA,NA,60
1,VICTOR,1746478.013,5427423.797,NA,NA,60
1,DOC200,1746697.77,5427637.817,NA,NA,60
1,DOC200,1746697.541,5427601.146,NA,NA,60
1,VICTOR,1746706.295,5427687.248,NA,NA,60
1,VICTOR,1746259.386,5427055.003,NA,NA,60
1,DOC200,1746824.659,5427606.894,NA,NA,60
1,VICTOR,1746818.217,5427655.963,NA,NA,60
1,DOC200,1746804.891,5427698.001,NA,NA,60
1,VICTOR,1746759.955,5427718.555,NA,NA,60
1,VICTOR,1746746.472,5427685.127,NA,NA,60
1,VICTOR,1746725.753,5427671.667,NA,NA,60
1,DOC200,1746335.11,5427131.698,NA,NA,60
1,DOC200,1746398.171,5421095.166,NA,NA,60
1,VICTOR,1746409.979,5421090.678,NA,NA,60
1,VICTOR,1746454.792,5421060.879,NA,NA,60
1,VICTOR,1746509.44,5421045.876,NA,NA,60
1,VICTOR,1746544.339,5421047.026,NA,NA,60
1,VICTOR,1746577.177,5421056.126,NA,NA,60
1,VICTOR,1746608.568,5421058.712,NA,NA,60
1,DOC200,1746658.606,5421068.818,NA,NA,60
1,VICTOR,1746715.847,5421101.718,NA,NA,60
1,DOC200,1746755.743,5421142.956,NA,NA,60
1,DOC200,1746814.886,5421197.894,NA,NA,60
1,VICTOR,1746855.23,5421258.799,NA,NA,60
1,DOC200,1746914.227,5421333.875,NA,NA,60
1,VICTOR,1746917.611,5421335.661,NA,NA,60
1,VICTOR,1746941.114,5421366.651,NA,NA,60
1,VICTOR,1747111.187,5421525.73,NA,NA,60
1,VICTOR,1747178.125,5421497.35,NA,NA,60
1,DOC200,1747174.256,5421498.905,NA,NA,60
1,VICTOR,1747206.453,5421465.719,NA,NA,60
1,VICTOR,1746347.064,5427169.328,NA,NA,60
1,VICTOR,1746343.723,5427224.711,NA,NA,60
1,VICTOR,1746327.423,5427263.239,NA,NA,60
1,VICTOR,1746319.447,5427313.463,NA,NA,60
1,DOC200,1746357.373,5427322.324,NA,NA,60
1,VICTOR,1743211.669,5426722.091,NA,NA,60
1,DOC200,1743258.575,5426638.015,NA,NA,60
1,VICTOR,1743146.434,5426807.185,NA,NA,60
1,DOC200,1743192.747,5426898.366,NA,NA,60
1,DOC200,1747111.871,5426074.256,NA,NA,60
1,DOC200,1746763.503,5426767.546,NA,NA,60
